event_id,user_id,account_id,feature_name,training_type,event_type,timestamp
evt_00000000,usr_0000001,acc_000000,bulk_assign,onboarding,used,2024-12-05 23:45:36
evt_00000001,usr_0000001,acc_000000,bulk_assign,compliance,abandoned,2023-02-27 04:35:00
evt_00000002,usr_0000001,acc_000000,reminder_automation,,used,2023-05-19 15:18:12
evt_00000003,usr_0000000,acc_000000,custom_branding,,blocked,2024-01-30 11:21:21
evt_00000004,usr_0000001,acc_000000,certification_tracker,compliance,used,2023-04-17 09:50:44
evt_00000005,usr_0000001,acc_000000,course_builder,onboarding,used,2024-11-18 04:41:57
evt_00000006,usr_0000001,acc_000000,certification_tracker,compliance,used,2024-06-19 21:05:55
evt_00000007,usr_0000001,acc_000000,custom_branding,,blocked,2023-11-21 16:19:39
evt_00000008,usr_0000001,acc_000000,hris_sync,,used,2023-11-24 11:50:53
evt_00000009,usr_0000000,acc_000000,bulk_assign,safety,abandoned,2023-11-03 17:48:22
evt_00000010,usr_0000000,acc_000000,audit_report,compliance,abandoned,2023-11-23 20:34:55
evt_00000011,usr_0000001,acc_000000,custom_branding,,blocked,2023-03-08 14:42:17
evt_00000012,usr_0000001,acc_000000,course_builder,compliance,used,2024-09-12 13:14:54
evt_00000013,usr_0000001,acc_000000,certification_tracker,compliance,used,2024-11-23 23:24:46
evt_00000014,usr_0000001,acc_000000,course_builder,compliance,used,2024-08-26 06:24:43
evt_00000015,usr_0000001,acc_000000,course_builder,onboarding,used,2024-01-09 08:02:22
evt_00000016,usr_0000000,acc_000000,hris_sync,,used,2023-10-26 07:13:52
evt_00000017,usr_0000001,acc_000000,bulk_assign,compliance,used,2024-09-01 22:05:33
evt_00000018,usr_0000000,acc_000000,reminder_automation,,used,2024-11-18 11:25:08
evt_00000019,usr_0000000,acc_000000,audit_report,skills,used,2024-06-12 11:04:31
evt_00000020,usr_0000001,acc_000000,reminder_automation,,used,2023-06-22 16:29:57
evt_00000021,usr_0000001,acc_000000,certification_tracker,skills,abandoned,2023-03-15 12:39:43
evt_00000022,usr_0000000,acc_000000,audit_report,onboarding,used,2024-02-23 15:56:41
evt_00000023,usr_0000000,acc_000000,hris_sync,,used,2024-08-20 08:58:33
evt_00000024,usr_0000000,acc_000000,custom_branding,,blocked,2023-07-17 14:12:15
evt_00000025,usr_0000000,acc_000000,custom_branding,,abandoned,2024-01-27 21:41:03
evt_00000026,usr_0000001,acc_000000,bulk_assign,safety,used,2023-02-24 05:49:36
evt_00000027,usr_0000001,acc_000000,hris_sync,,used,2024-08-29 00:13:04
evt_00000028,usr_0000001,acc_000000,bulk_assign,safety,used,2023-06-04 01:56:52
evt_00000029,usr_0000001,acc_000000,reminder_automation,,abandoned,2024-10-13 22:32:53
