account_id,month,courses_assigned,courses_completed,overdue_certifications,seats_used,support_tickets,support_ticket_category
acc_000000,2024-01-01,20,19,2,1,0,none
acc_000000,2024-02-01,16,13,0,1,0,none
acc_000000,2024-03-01,26,19,2,1,0,none
acc_000000,2024-04-01,35,27,4,1,0,none
acc_000000,2024-05-01,20,17,1,1,0,none
acc_000000,2024-06-01,21,17,0,1,0,none
acc_000000,2024-07-01,17,16,2,1,0,none
acc_000000,2024-08-01,18,13,2,1,0,none
acc_000000,2024-09-01,35,31,2,1,0,none
acc_000000,2024-10-01,26,24,2,1,0,none
acc_000000,2024-11-01,19,18,2,1,1,integration
acc_000000,2024-12-01,17,14,0,1,0,none
acc_000000,2024-12-01,20,16,1,1,0,none
acc_000000,2025-01-01,22,20,2,1,1,none
acc_000000,2025-03-01,26,22,2,1,0,none
acc_000001,2024-08-01,54,34,2,7,1,billing
acc_000001,2024-09-01,114,63,14,6,0,none
acc_000001,2024-10-01,90,47,4,8,0,none
acc_000001,2024-11-01,66,36,8,7,0,none
acc_000001,2024-12-01,69,42,3,6,0,none
acc_000001,2024-12-01,68,43,18,11,0,none
acc_000001,2025-01-01,28,15,4,3,0,none
acc_000001,2025-03-01,44,28,8,4,0,none
acc_000002,2024-12-01,103,89,12,8,0,none
acc_000002,2024-12-01,116,81,17,7,0,none
acc_000002,2025-01-01,135,117,17,7,0,none
acc_000002,2025-03-01,232,153,11,5,0,none
acc_000003,2024-01-01,17,16,1,4,0,none
acc_000003,2024-02-01,17,13,2,4,0,none
acc_000003,2024-03-01,22,21,2,3,1,integration
acc_000003,2024-04-01,22,21,2,4,0,none
acc_000003,2024-05-01,14,11,0,4,0,none
acc_000003,2024-06-01,13,10,1,3,0,none
acc_000003,2024-07-01,17,12,1,3,0,none
acc_000003,2024-08-01,15,13,0,2,1,none
acc_000003,2024-09-01,25,22,3,3,0,none
acc_000003,2024-10-01,29,24,2,3,0,none
acc_000003,2024-11-01,18,13,1,3,0,none
acc_000003,2024-12-01,16,15,2,2,0,none
acc_000003,2024-12-01,14,11,1,4,1,integration
acc_000003,2025-01-01,18,14,1,3,1,none
acc_000003,2025-03-01,27,21,1,4,0,none
acc_000004,2024-06-01,13,11,1,4,0,none
acc_000004,2024-07-01,16,12,1,4,1,none
acc_000004,2024-08-01,15,11,0,4,0,none
acc_000004,2024-09-01,28,18,4,4,0,none
acc_000004,2024-10-01,25,21,0,4,1,integration
acc_000004,2024-11-01,19,13,1,2,0,none
acc_000004,2024-12-01,14,10,1,3,0,none
acc_000004,2024-12-01,15,12,0,4,0,none
acc_000004,2025-01-01,14,11,0,3,0,none
acc_000004,2025-03-01,18,12,2,2,0,none
acc_000005,2024-01-01,87,58,10,7,1,integration
acc_000005,2024-02-01,64,44,6,7,0,none
acc_000005,2024-03-01,126,98,8,6,0,none
acc_000005,2024-04-01,113,82,15,7,0,none
acc_000005,2024-05-01,62,43,8,7,0,none
acc_000005,2024-06-01,70,60,8,5,1,none
acc_000005,2024-07-01,67,57,9,7,0,none
acc_000005,2024-08-01,68,52,5,4,0,none
acc_000005,2024-09-01,86,64,4,4,0,none
acc_000005,2024-10-01,107,87,3,6,0,none
acc_000005,2024-11-01,86,58,2,5,0,none
acc_000005,2024-12-01,74,56,7,5,1,none
acc_000005,2024-12-01,61,39,3,4,0,none
acc_000005,2025-01-01,74,49,3,6,0,none
acc_000005,2025-03-01,97,78,8,7,1,product
acc_000006,2024-08-01,14,9,1,2,0,none
acc_000006,2024-09-01,18,12,1,2,1,integration
acc_000006,2024-10-01,18,12,0,2,0,none
acc_000006,2024-11-01,11,8,1,1,0,none
acc_000006,2024-12-01,12,7,1,2,0,none
acc_000006,2024-12-01,10,7,0,2,1,product
acc_000006,2025-01-01,10,7,1,2,0,none
acc_000006,2025-03-01,18,13,2,1,0,none
acc_000007,2024-01-01,14,9,1,1,0,none
acc_000007,2024-02-01,11,8,1,1,0,none
acc_000007,2024-03-01,22,15,2,1,1,product
acc_000007,2024-04-01,20,13,2,1,0,none
acc_000007,2024-05-01,10,7,1,1,0,none
acc_000007,2024-06-01,13,8,0,2,0,none
acc_000007,2024-07-01,11,7,0,1,0,none
acc_000007,2024-08-01,11,8,1,2,0,none
acc_000007,2024-09-01,19,15,1,1,1,product
acc_000007,2024-10-01,18,14,1,2,1,product
acc_000007,2024-11-01,13,9,0,2,0,none
acc_000007,2024-12-01,13,9,0,2,0,none
