user_id,account_id,role,country,days_since_last_active
usr_0000000,acc_000000,admin,GB,18
usr_0000001,acc_000000,manager,AU,4
usr_0000002,acc_000001,admin,US,127
usr_0000003,acc_000001,manager,AU,91
usr_0000004,acc_000001,learner,US,52
usr_0000005,acc_000001,manager,AU,129
usr_0000006,acc_000001,learner,AU,197
usr_0000007,acc_000001,manager,AU,140
usr_0000008,acc_000001,learner,US,184
usr_0000009,acc_000001,manager,GB,124
usr_0000010,acc_000001,learner,NZ,129
usr_0000011,acc_000001,learner,SG,138
usr_0000012,acc_000001,manager,NZ,124
usr_0000013,acc_000001,learner,NZ,139
usr_0000014,acc_000002,admin,AU,21
usr_0000015,acc_000002,learner,GB,41
usr_0000016,acc_000002,learner,AU,31
usr_0000017,acc_000002,learner,SG,5
usr_0000018,acc_000002,manager,NZ,58
usr_0000019,acc_000002,learner,AU,8
usr_0000020,acc_000002,learner,AU,15
usr_0000021,acc_000002,learner,AU,3
usr_0000022,acc_000002,learner,US,32
usr_0000023,acc_000002,manager,NZ,6
usr_0000024,acc_000003,admin,GB,36
usr_0000025,acc_000003,learner,AU,37
usr_0000026,acc_000003,manager,SG,7
usr_0000027,acc_000003,learner,NZ,50
usr_0000028,acc_000003,manager,AU,5
usr_0000029,acc_000004,admin,US,19
usr_0000030,acc_000004,manager,GB,48
usr_0000031,acc_000004,learner,SG,16
usr_0000032,acc_000004,manager,US,51
usr_0000033,acc_000004,manager,AU,47
usr_0000034,acc_000005,admin,US,6
usr_0000035,acc_000005,learner,AU,25
usr_0000036,acc_000005,manager,AU,30
usr_0000037,acc_000005,learner,NZ,42
usr_0000038,acc_000005,learner,SG,31
usr_0000039,acc_000005,manager,GB,39
usr_0000040,acc_000005,learner,GB,44
usr_0000041,acc_000005,learner,GB,5
usr_0000042,acc_000006,admin,AU,12
usr_0000043,acc_000006,manager,AU,12
usr_0000044,acc_000006,learner,AU,41
usr_0000045,acc_000007,admin,SG,27
usr_0000046,acc_000007,learner,US,34
usr_0000047,acc_000007,manager,AU,29
usr_0000048,acc_000008,admin,NZ,1
usr_0000049,acc_000008,manager,US,47
usr_0000050,acc_000008,learner,US,30
usr_0000051,acc_000008,manager,NZ,15
usr_0000052,acc_000008,manager,SG,53
usr_0000053,acc_000008,learner,AU,6
usr_0000054,acc_000009,admin,US,54
usr_0000055,acc_000009,learner,SG,46
usr_0000056,acc_000009,learner,AU,31
usr_0000057,acc_000009,learner,SG,46
usr_0000058,acc_000009,learner,GB,52
usr_0000059,acc_000009,learner,AU,3
usr_0000060,acc_000009,learner,NZ,20
usr_0000061,acc_000009,learner,AU,41
usr_0000062,acc_000009,learner,NZ,31
usr_0000063,acc_000009,learner,SG,28
usr_0000064,acc_000009,learner,AU,18
usr_0000065,acc_000009,learner,NZ,28
usr_0000066,acc_000009,manager,AU,58
usr_0000067,acc_000009,learner,US,54
usr_0000068,acc_000009,learner,GB,8
usr_0000069,acc_000009,learner,GB,24
usr_0000070,acc_000009,learner,GB,43
usr_0000071,acc_000009,learner,AU,30
usr_0000072,acc_000009,learner,GB,39
usr_0000073,acc_000009,manager,GB,5
usr_0000074,acc_000009,learner,AU,12
usr_0000075,acc_000010,admin,SG,6
usr_0000076,acc_000010,learner,US,31
usr_0000077,acc_000010,manager,AU,3
usr_0000078,acc_000010,learner,AU,16
usr_0000079,acc_000010,learner,AU,52
usr_0000080,acc_000010,learner,SG,51
usr_0000081,acc_000011,admin,AU,7
usr_0000082,acc_000011,learner,AU,14
usr_0000083,acc_000011,learner,US,50
usr_0000084,acc_000011,learner,AU,56
usr_0000085,acc_000011,learner,US,54
usr_0000086,acc_000011,learner,SG,42
usr_0000087,acc_000011,manager,AU,60
usr_0000088,acc_000011,learner,NZ,53
usr_0000089,acc_000011,learner,US,50
usr_0000090,acc_000011,learner,GB,60
usr_0000091,acc_000012,admin,GB,2
usr_0000092,acc_000012,learner,AU,7
usr_0000093,acc_000013,admin,US,10
usr_0000094,acc_000013,learner,GB,48
usr_0000095,acc_000013,learner,GB,6
usr_0000096,acc_000014,admin,SG,21
usr_0000097,acc_000014,learner,AU,12
usr_0000098,acc_000014,learner,NZ,49
usr_0000099,acc_000015,admin,AU,51
usr_0000100,acc_000015,learner,AU,10
usr_0000101,acc_000015,manager,AU,48
usr_0000102,acc_000015,learner,SG,15
usr_0000103,acc_000016,admin,GB,33
usr_0000104,acc_000016,learner,AU,51
usr_0000105,acc_000016,learner,US,57
usr_0000106,acc_000016,learner,US,50
usr_0000107,acc_000016,learner,US,28
usr_0000108,acc_000016,manager,AU,51
usr_0000109,acc_000017,admin,US,5
usr_0000110,acc_000017,manager,NZ,49
usr_0000111,acc_000017,manager,AU,48
usr_0000112,acc_000017,manager,US,9
usr_0000113,acc_000017,learner,AU,40
usr_0000114,acc_000017,learner,GB,56
usr_0000115,acc_000018,admin,US,26
usr_0000116,acc_000018,learner,GB,35
usr_0000117,acc_000018,learner,GB,20
usr_0000118,acc_000018,learner,AU,17
usr_0000119,acc_000018,learner,SG,9
usr_0000120,acc_000018,learner,NZ,13
usr_0000121,acc_000018,learner,SG,39
usr_0000122,acc_000018,learner,GB,56
usr_0000123,acc_000018,learner,SG,49
usr_0000124,acc_000018,manager,AU,2
usr_0000125,acc_000018,learner,AU,46
usr_0000126,acc_000018,learner,AU,34
usr_0000127,acc_000019,admin,AU,32
usr_0000128,acc_000019,learner,SG,48
usr_0000129,acc_000019,learner,AU,56
usr_0000130,acc_000019,learner,SG,15
usr_0000131,acc_000020,admin,GB,32
usr_0000132,acc_000020,manager,AU,23
usr_0000133,acc_000020,manager,SG,7
usr_0000134,acc_000020,manager,GB,7
usr_0000135,acc_000021,admin,AU,47
usr_0000136,acc_000021,manager,AU,15
usr_0000137,acc_000021,learner,US,36
usr_0000138,acc_000021,learner,US,42
usr_0000139,acc_000021,learner,SG,22
usr_0000140,acc_000021,manager,GB,52
usr_0000141,acc_000021,learner,GB,45
usr_0000142,acc_000021,learner,GB,6
usr_0000143,acc_000021,manager,SG,52
usr_0000144,acc_000021,learner,NZ,9
usr_0000145,acc_000021,learner,GB,5
usr_0000146,acc_000021,manager,NZ,8
usr_0000147,acc_000021,learner,NZ,23
usr_0000148,acc_000021,learner,NZ,35
usr_0000149,acc_000021,learner,AU,16
usr_0000150,acc_000021,learner,SG,28
usr_0000151,acc_000021,learner,US,46
usr_0000152,acc_000021,learner,GB,9
usr_0000153,acc_000021,learner,NZ,29
usr_0000154,acc_000021,manager,GB,55
usr_0000155,acc_000021,learner,GB,29
usr_0000156,acc_000021,learner,GB,60
usr_0000157,acc_000022,admin,AU,60
usr_0000158,acc_000022,manager,US,7
usr_0000159,acc_000022,manager,SG,2
usr_0000160,acc_000022,learner,AU,19
usr_0000161,acc_000022,learner,AU,31
usr_0000162,acc_000022,manager,AU,50
usr_0000163,acc_000023,admin,NZ,59
usr_0000164,acc_000023,learner,US,13
usr_0000165,acc_000023,manager,GB,0
usr_0000166,acc_000023,manager,AU,55
usr_0000167,acc_000023,manager,NZ,19
usr_0000168,acc_000023,learner,US,50
usr_0000169,acc_000024,admin,NZ,46
usr_0000170,acc_000024,learner,AU,8
usr_0000171,acc_000024,learner,NZ,28
usr_0000172,acc_000024,learner,AU,46
usr_0000173,acc_000024,manager,GB,42
usr_0000174,acc_000024,learner,AU,57
usr_0000175,acc_000024,learner,SG,42
usr_0000176,acc_000024,learner,GB,41
usr_0000177,acc_000024,manager,AU,1
usr_0000178,acc_000024,learner,GB,45
usr_0000179,acc_000025,admin,SG,7
usr_0000180,acc_000025,learner,AU,39
usr_0000181,acc_000025,learner,GB,36
usr_0000182,acc_000025,learner,GB,32
usr_0000183,acc_000025,learner,AU,59
usr_0000184,acc_000025,learner,US,17
usr_0000185,acc_000025,learner,AU,45
usr_0000186,acc_000025,learner,SG,5
usr_0000187,acc_000026,admin,SG,132
