account_id,account_name,plan_tier,vertical,company_size,acquisition_channel,integration_count,account_age_days,contract_value_aud,churned_90d,upgraded_90d
acc_000000,"Rodriguez, Figueroa and Sanchez",pro,finance,small,paid_search,3,407,7844.91,False,False
acc_000001,Doyle Ltd,pro,revops,mid,paid_search,1,77,9935.48,False,False
acc_000002,"Mcclain, Miller and Henderson",pro,finance,small,outbound,1,309,13551.36,True,False
acc_000003,Davis and Sons,starter,hr,large,organic,0,111,3713.3,False,False
acc_000004,"Guzman, Hoffman and Baldwin",starter,finance,large,referral,2,77,2567.74,False,False
acc_000005,"Gardner, Robinson and Lawrence",starter,hr,small,paid_search,2,265,3130.42,False,False
acc_000006,Blake and Sons,enterprise,hr,mid,organic,2,346,109690.66,False,False
acc_000007,"Henderson, Ramirez and Lewis",starter,finance,small,outbound,2,425,2241.8,False,False
acc_000008,Garcia-James,starter,hr,small,paid_search,2,355,4202.8,False,False
acc_000009,Abbott-Munoz,starter,hr,mid,organic,2,379,3532.93,False,False
acc_000010,Blair PLC,pro,finance,mid,paid_search,4,224,10859.06,True,False
acc_000011,Dudley Group,enterprise,customer_success,small,referral,2,423,99839.99,False,False
acc_000012,Arnold Ltd,starter,finance,small,paid_search,2,138,4487.29,True,False
acc_000013,"Mcclure, Ward and Lee",pro,customer_success,small,referral,5,482,22461.86,True,False
acc_000014,Williams and Sons,starter,hr,small,outbound,2,164,3889.25,False,False
acc_000015,Galloway-Wyatt,starter,revops,small,partner,2,100,3034.29,False,True
acc_000016,James Group,starter,finance,small,outbound,2,435,3649.73,False,True
acc_000017,"Flowers, Martin and Kelly",pro,revops,mid,referral,3,158,23479.41,False,False
acc_000018,"Adams, Zuniga and Wong",pro,finance,mid,outbound,1,304,19515.8,False,False
acc_000019,"Reid, Ferguson and Sanchez",pro,hr,small,paid_search,2,31,23168.69,False,False
acc_000020,Gray-Mayo,pro,hr,mid,paid_search,2,497,7915.39,True,False
acc_000021,"Watts, Robinson and Nguyen",pro,it_ops,mid,paid_search,2,221,19725.19,False,False
acc_000022,Perez Inc,pro,it_ops,mid,paid_search,5,195,14794.9,False,False
acc_000023,Morales-Jones,starter,hr,large,organic,2,152,1408.53,False,False
acc_000024,"Walter, Edwards and Rios",pro,mixed,small,referral,3,65,23603.72,False,True
acc_000025,Wilkerson-Day,pro,finance,mid,partner,3,114,10771.02,False,False
acc_000026,Baker and Sons,pro,revops,small,outbound,2,403,18417.62,False,False
acc_000027,"Hoffman, Baker and Richards",pro,revops,mid,referral,5,490,15316.37,False,True
acc_000028,"Ross, Robinson and Bright",starter,hr,small,outbound,1,147,3318.38,True,False
acc_000029,"Snyder, Campos and Callahan",starter,customer_success,small,paid_search,1,46,4294.69,False,False
acc_000030,Burton Ltd,starter,hr,mid,paid_search,2,97,3804.07,False,False
acc_000031,Carlson-Cruz,enterprise,revops,small,referral,1,238,47136.89,False,False
acc_000032,"Ferrell, Rice and Maddox",starter,revops,small,referral,1,403,1395.02,False,False
acc_000033,Frazier Inc,pro,customer_success,small,organic,3,439,21510.11,True,False
acc_000034,"Dyer, Potter and Mack",starter,finance,small,referral,2,172,2865.46,True,False
acc_000035,Rodriguez-Graham,pro,finance,mid,organic,4,80,6910.59,False,False
acc_000036,Smith-Bowen,enterprise,it_ops,large,partner,4,464,51274.15,False,False
acc_000037,"Baker, Mason and White",starter,revops,large,partner,2,114,2564.3,False,False
acc_000038,Harrell LLC,enterprise,hr,mid,referral,1,246,92693.24,False,False
acc_000039,"Romero, Gonzalez and Brooks",pro,it_ops,mid,referral,2,127,11340.74,False,False
acc_000040,Ryan PLC,enterprise,revops,mid,organic,2,59,34512.81,False,False
acc_000041,George Group,starter,mixed,mid,paid_search,2,290,1488.4,True,False
acc_000042,Rodriguez LLC,starter,revops,mid,paid_search,2,91,4589.75,False,False
acc_000043,Allen-Allen,pro,revops,small,paid_search,5,366,16506.1,False,False
acc_000044,"Arroyo, Miller and Tucker",pro,mixed,small,organic,1,152,10781.06,True,False
acc_000045,Spence PLC,starter,customer_success,mid,partner,2,509,1461.16,False,False
acc_000046,Anderson Group,starter,mixed,large,paid_search,2,139,3021.18,False,True
acc_000047,"Martin, Rose and Obrien",starter,hr,small,paid_search,2,175,1767.89,True,False
acc_000048,Hickman Ltd,pro,customer_success,mid,partner,0,364,15520.93,False,False
acc_000049,"Harris, Collins and Carney",pro,revops,large,paid_search,1,479,8417.24,True,False
acc_000050,"Brooks, Lam and Hayes",starter,finance,mid,paid_search,2,339,1958.27,False,True
acc_000051,Walker LLC,starter,customer_success,large,outbound,1,158,4459.21,False,False
acc_000052,Chapman and Sons,pro,finance,small,paid_search,4,31,12004.02,False,False
acc_000053,"Robinson, Jones and Welch",starter,mixed,small,referral,2,391,2739.67,False,False
acc_000054,Jones Inc,starter,finance,large,partner,2,309,1329.7,False,False
acc_000055,Jones-Young,starter,revops,small,paid_search,2,216,4436.33,False,False
acc_000056,"Washington, Ryan and Cummings",pro,it_ops,large,paid_search,4,157,18004.8,False,False
acc_000057,"Johnston, Sanchez and Kennedy",starter,revops,large,partner,2,413,1756.39,False,False
acc_000058,Lee-Davis,enterprise,it_ops,large,organic,3,481,67106.5,False,False
acc_000059,Gomez-Jenkins,starter,mixed,mid,referral,2,372,4310.63,False,False
acc_000060,"Brown, Valdez and Lucas",pro,hr,mid,paid_search,2,476,6697.04,False,False
acc_000061,Powell LLC,starter,finance,large,referral,2,450,4063.24,False,False
acc_000062,Wright and Sons,starter,finance,small,referral,1,472,1449.91,False,False
acc_000063,"West, Henderson and Ramirez",pro,hr,mid,outbound,6,461,15651.88,False,False
acc_000064,Baxter Inc,enterprise,finance,large,paid_search,3,522,118519.55,False,False
acc_000065,Morton-Chase,starter,revops,small,organic,2,253,3382.35,False,False
acc_000066,Williams PLC,pro,revops,mid,paid_search,0,392,13849.04,False,False
acc_000067,Novak and Sons,pro,it_ops,mid,partner,3,407,18071.31,False,False
acc_000068,Russell Group,starter,finance,mid,referral,2,190,3588.19,False,False
acc_000069,Hancock Inc,starter,mixed,mid,outbound,2,197,2648.64,False,False
acc_000070,Gray Group,starter,finance,small,partner,2,376,3893.28,True,False
acc_000071,House-Glover,starter,revops,small,organic,2,185,2232.89,False,False
acc_000072,Henderson-Bernard,starter,revops,mid,referral,2,256,3632.26,False,False
acc_000073,"Stanley, Tucker and Lee",pro,it_ops,large,organic,4,367,7526.32,False,False
acc_000074,Novak PLC,pro,customer_success,small,organic,1,414,10227.63,False,False
acc_000075,"Daniels, Adkins and Brown",starter,it_ops,small,paid_search,2,533,2910.49,False,False
acc_000076,"Woods, Calhoun and Schmidt",pro,finance,small,outbound,1,129,18930.23,True,False
acc_000077,Yu Inc,starter,revops,small,outbound,2,487,3903.47,False,False
