account_id,month,active_days,workflows_run,workflows_errored,seats_used,support_tickets,support_ticket_category
acc_000000,2023-07-01,13,989,38,10,1,integration
acc_000000,2023-08-01,17,988,109,5,0,none
acc_000000,2023-09-01,19,1001,169,8,0,none
acc_000000,2023-10-01,16,934,12,8,1,integration
acc_000000,2023-11-01,13,1019,128,9,0,none
acc_000000,2023-12-01,13,982,97,11,0,none
acc_000000,2024-01-01,24,976,23,4,1,billing
acc_000000,2024-02-01,15,995,86,5,0,none
acc_000000,2024-03-01,14,987,59,7,0,none
acc_000000,2024-04-01,12,994,33,10,0,none
acc_000000,2024-05-01,14,926,62,8,0,none
acc_000000,2024-05-01,12,958,55,4,0,none
acc_000000,2024-06-01,16,952,81,10,0,none
acc_000001,2024-05-01,17,925,193,2,1,product
acc_000001,2024-06-01,21,955,85,4,1,integration
acc_000002,2023-10-01,15,995,237,11,0,none
acc_000002,2023-11-01,13,960,32,7,0,none
acc_000002,2023-12-01,14,943,203,8,0,none
acc_000002,2024-01-01,23,980,123,5,0,none
acc_000002,2024-02-01,20,957,205,5,0,none
acc_000002,2024-03-01,16,994,161,5,0,none
acc_000002,2024-04-01,13,954,241,5,0,none
acc_000002,2024-05-01,13,983,344,8,0,none
acc_000002,2024-05-01,13,952,134,8,0,none
acc_000002,2024-06-01,16,955,51,4,0,none
acc_000003,2024-05-01,6,158,52,3,0,none
acc_000003,2024-05-01,14,164,16,1,0,none
acc_000003,2024-06-01,9,159,9,3,0,none
acc_000004,2024-05-01,9,209,16,1,0,none
acc_000004,2024-06-01,16,207,21,1,0,none
acc_000005,2023-12-01,7,128,2,2,0,none
acc_000005,2024-01-01,7,131,24,3,0,none
acc_000005,2024-02-01,6,117,12,1,0,none
acc_000005,2024-03-01,9,130,6,1,0,none
acc_000005,2024-04-01,5,138,5,1,1,billing
acc_000005,2024-05-01,9,119,2,3,1,product
acc_000005,2024-05-01,4,121,1,1,0,none
acc_000005,2024-06-01,7,127,17,1,0,none
acc_000006,2023-09-01,28,5043,648,16,0,none
acc_000006,2023-10-01,28,5031,642,19,0,none
acc_000006,2023-11-01,21,4939,300,21,0,none
acc_000006,2023-12-01,18,4904,751,25,1,product
acc_000006,2024-01-01,17,5059,273,31,0,none
acc_000006,2024-02-01,22,5048,205,18,1,product
acc_000006,2024-03-01,23,4961,185,32,0,none
acc_000006,2024-04-01,13,4964,176,26,1,product
acc_000006,2024-05-01,22,5068,220,19,0,none
acc_000006,2024-05-01,21,4999,762,29,0,none
acc_000006,2024-06-01,28,4910,119,26,0,none
acc_000007,2023-06-01,5,137,12,1,1,product
acc_000007,2023-07-01,7,120,10,3,0,none
acc_000007,2023-08-01,6,104,14,2,0,none
acc_000007,2023-09-01,5,117,6,1,0,none
acc_000007,2023-10-01,2,135,12,3,0,none
acc_000007,2023-11-01,8,124,9,1,0,none
acc_000007,2023-12-01,8,115,4,2,0,none
acc_000007,2024-01-01,8,112,2,1,0,none
acc_000007,2024-02-01,3,121,5,1,0,none
acc_000007,2024-03-01,6,134,11,1,0,none
acc_000007,2024-04-01,6,123,4,3,0,none
acc_000007,2024-05-01,9,123,8,1,0,none
acc_000007,2024-05-01,5,106,4,1,0,none
acc_000007,2024-06-01,8,139,18,1,1,product
acc_000008,2023-09-01,9,184,25,2,1,integration
acc_000008,2023-10-01,6,196,10,3,0,none
acc_000008,2023-11-01,16,193,15,2,0,none
acc_000008,2023-12-01,13,191,4,2,1,billing
acc_000008,2024-01-01,12,198,4,1,1,integration
acc_000008,2024-02-01,10,182,5,3,0,none
acc_000008,2024-03-01,18,194,11,3,0,none
acc_000008,2024-04-01,12,195,10,3,0,none
acc_000008,2024-05-01,16,216,16,2,0,none
acc_000008,2024-05-01,12,194,1,3,0,none
acc_000008,2024-06-01,14,237,49,3,1,product
acc_000009,2023-08-01,6,98,8,1,0,none
acc_000009,2023-09-01,12,130,5,1,0,none
acc_000009,2023-10-01,14,137,14,3,0,none
acc_000009,2023-11-01,9,118,5,1,0,none
acc_000009,2023-12-01,11,128,4,1,0,none
acc_000009,2024-01-01,3,121,5,1,0,none
acc_000009,2024-02-01,6,118,7,1,0,none
acc_000009,2024-03-01,4,107,0,1,0,none
acc_000009,2024-04-01,5,113,3,1,0,none
acc_000009,2024-05-01,8,125,10,2,0,none
acc_000009,2024-05-01,3,105,7,1,0,none
acc_000009,2024-06-01,7,111,9,1,0,none
acc_000010,2024-01-01,10,731,79,9,0,billing
acc_000010,2024-02-01,10,693,57,4,0,none
acc_000010,2024-03-01,7,722,24,2,0,none
acc_000010,2024-04-01,12,681,48,1,0,none
acc_000010,2024-05-01,15,681,26,6,0,none
acc_000010,2024-05-01,9,701,7,5,0,none
acc_000010,2024-06-01,9,693,55,6,0,none
acc_000011,2023-06-01,20,5040,189,28,1,product
acc_000011,2023-07-01,26,5042,246,27,0,none
acc_000011,2023-08-01,26,4974,655,24,0,none
acc_000011,2023-09-01,18,5056,1068,28,0,none
acc_000011,2023-10-01,25,5038,411,24,1,billing
acc_000011,2023-11-01,22,4820,530,22,0,none
acc_000011,2023-12-01,27,4986,1010,33,0,none
acc_000011,2024-01-01,17,4971,107,29,0,none
acc_000011,2024-02-01,28,5075,248,24,0,none
acc_000011,2024-03-01,26,5046,522,23,0,none
acc_000011,2024-04-01,26,5068,243,31,0,none
acc_000011,2024-05-01,23,5071,266,19,0,none
acc_000011,2024-05-01,28,4986,679,25,1,product
acc_000011,2024-06-01,26,4946,604,27,0,none
acc_000012,2024-04-01,7,88,5,1,1,billing
acc_000012,2024-05-01,2,44,3,2,0,none
acc_000012,2024-05-01,2,39,1,1,0,none
acc_000012,2024-06-01,3,88,7,1,0,none
acc_000013,2023-05-01,6,926,49,10,0,none
acc_000013,2023-06-01,14,1002,53,6,0,none
acc_000013,2023-07-01,16,943,111,8,0,none
acc_000013,2023-08-01,11,989,12,4,0,none
acc_000013,2023-09-01,14,938,36,9,0,none
acc_000013,2023-10-01,10,988,55,10,0,none
acc_000013,2023-11-01,19,970,118,6,0,none
acc_000013,2023-12-01,11,899,41,10,0,none
acc_000013,2024-01-01,16,996,44,7,0,none
acc_000013,2024-02-01,14,936,39,9,1,product
