account_id,step_name,completed,completed_at
acc_000000,create_first_workflow,True,2023-06-02 00:00:00
acc_000000,connect_first_integration,True,2023-06-01 00:00:00
acc_000000,connect_second_integration,False,
acc_000000,invite_team_member,True,2023-05-23 00:00:00
acc_000000,run_first_workflow,True,2023-05-27 00:00:00
acc_000001,create_first_workflow,True,2024-04-21 00:00:00
acc_000001,connect_first_integration,False,
acc_000001,connect_second_integration,True,2024-04-19 00:00:00
acc_000001,invite_team_member,True,2024-04-28 00:00:00
acc_000001,run_first_workflow,True,2024-04-22 00:00:00
acc_000002,create_first_workflow,True,2023-09-05 00:00:00
acc_000002,connect_first_integration,True,2023-08-27 00:00:00
acc_000002,connect_second_integration,False,
acc_000002,invite_team_member,True,2023-09-07 00:00:00
acc_000002,run_first_workflow,True,2023-08-29 00:00:00
acc_000003,create_first_workflow,False,
acc_000003,connect_first_integration,True,2024-03-15 00:00:00
acc_000003,connect_second_integration,True,2024-03-19 00:00:00
acc_000003,invite_team_member,True,2024-03-16 00:00:00
acc_000003,run_first_workflow,True,2024-03-23 00:00:00
acc_000004,create_first_workflow,True,2024-04-28 00:00:00
acc_000004,connect_first_integration,True,2024-04-27 00:00:00
acc_000004,connect_second_integration,True,2024-04-24 00:00:00
acc_000004,invite_team_member,True,2024-04-25 00:00:00
acc_000004,run_first_workflow,True,2024-04-15 00:00:00
acc_000005,create_first_workflow,True,2023-10-10 00:00:00
acc_000005,connect_first_integration,True,2023-10-16 00:00:00
acc_000005,connect_second_integration,False,
acc_000005,invite_team_member,False,
acc_000005,run_first_workflow,True,2023-10-20 00:00:00
acc_000006,create_first_workflow,True,2023-08-01 00:00:00
acc_000006,connect_first_integration,True,2023-07-28 00:00:00
acc_000006,connect_second_integration,True,2023-07-24 00:00:00
acc_000006,invite_team_member,True,2023-07-28 00:00:00
acc_000006,run_first_workflow,True,2023-07-26 00:00:00
acc_000007,create_first_workflow,True,2023-05-11 00:00:00
acc_000007,connect_first_integration,False,
acc_000007,connect_second_integration,False,
acc_000007,invite_team_member,True,2023-05-13 00:00:00
acc_000007,run_first_workflow,True,2023-05-04 00:00:00
acc_000008,create_first_workflow,True,2023-07-14 00:00:00
acc_000008,connect_first_integration,True,2023-07-16 00:00:00
acc_000008,connect_second_integration,True,2023-07-19 00:00:00
acc_000008,invite_team_member,True,2023-07-21 00:00:00
acc_000008,run_first_workflow,True,2023-07-12 00:00:00
acc_000009,create_first_workflow,True,2023-06-22 00:00:00
acc_000009,connect_first_integration,False,
acc_000009,connect_second_integration,True,2023-06-29 00:00:00
acc_000009,invite_team_member,True,2023-07-01 00:00:00
acc_000009,run_first_workflow,False,
acc_000010,create_first_workflow,False,
acc_000010,connect_first_integration,True,2023-11-29 00:00:00
acc_000010,connect_second_integration,True,2023-11-28 00:00:00
acc_000010,invite_team_member,False,
acc_000010,run_first_workflow,True,2023-11-26 00:00:00
acc_000011,create_first_workflow,True,2023-05-13 00:00:00
acc_000011,connect_first_integration,True,2023-05-06 00:00:00
acc_000011,connect_second_integration,True,2023-05-09 00:00:00
acc_000011,invite_team_member,True,2023-05-05 00:00:00
acc_000011,run_first_workflow,True,2023-05-09 00:00:00
acc_000012,create_first_workflow,True,2024-02-26 00:00:00
acc_000012,connect_first_integration,True,2024-02-17 00:00:00
acc_000012,connect_second_integration,False,
acc_000012,invite_team_member,False,
acc_000012,run_first_workflow,False,
acc_000013,create_first_workflow,True,2023-03-07 00:00:00
acc_000013,connect_first_integration,True,2023-03-08 00:00:00
acc_000013,connect_second_integration,False,
acc_000013,invite_team_member,True,2023-03-16 00:00:00
acc_000013,run_first_workflow,True,2023-03-19 00:00:00
acc_000014,create_first_workflow,True,2024-01-24 00:00:00
acc_000014,connect_first_integration,False,
acc_000014,connect_second_integration,False,
acc_000014,invite_team_member,True,2024-01-28 00:00:00
acc_000014,run_first_workflow,False,
acc_000015,create_first_workflow,True,2024-03-30 00:00:00
acc_000015,connect_first_integration,False,
acc_000015,connect_second_integration,True,2024-03-23 00:00:00
acc_000015,invite_team_member,True,2024-03-30 00:00:00
acc_000015,run_first_workflow,True,2024-04-02 00:00:00
acc_000016,create_first_workflow,True,2023-04-30 00:00:00
acc_000016,connect_first_integration,True,2023-05-06 00:00:00
acc_000016,connect_second_integration,False,
acc_000016,invite_team_member,True,2023-04-23 00:00:00
acc_000016,run_first_workflow,True,2023-05-05 00:00:00
acc_000017,create_first_workflow,True,2024-02-02 00:00:00
acc_000017,connect_first_integration,True,2024-01-31 00:00:00
acc_000017,connect_second_integration,False,
acc_000017,invite_team_member,False,
acc_000017,run_first_workflow,True,2024-01-25 00:00:00
acc_000018,create_first_workflow,True,2023-09-07 00:00:00
acc_000018,connect_first_integration,True,2023-09-07 00:00:00
acc_000018,connect_second_integration,False,
acc_000018,invite_team_member,True,2023-09-02 00:00:00
acc_000018,run_first_workflow,True,2023-09-10 00:00:00
acc_000019,create_first_workflow,False,
acc_000019,connect_first_integration,True,2024-06-03 00:00:00
acc_000019,connect_second_integration,True,2024-05-31 00:00:00
acc_000019,invite_team_member,True,2024-06-01 00:00:00
acc_000019,run_first_workflow,True,2024-06-03 00:00:00
acc_000020,create_first_workflow,True,2023-03-04 00:00:00
acc_000020,connect_first_integration,False,
acc_000020,connect_second_integration,False,
acc_000020,invite_team_member,True,2023-03-04 00:00:00
acc_000020,run_first_workflow,True,2023-03-03 00:00:00
acc_000021,create_first_workflow,True,2023-11-23 00:00:00
acc_000021,connect_first_integration,True,2023-11-25 00:00:00
acc_000021,connect_second_integration,True,2023-11-27 00:00:00
acc_000021,invite_team_member,True,2023-11-28 00:00:00
acc_000021,run_first_workflow,True,2023-11-26 00:00:00
acc_000022,create_first_workflow,False,
acc_000022,connect_first_integration,True,2023-12-25 00:00:00
acc_000022,connect_second_integration,True,2023-12-20 00:00:00
acc_000022,invite_team_member,True,2023-12-20 00:00:00
acc_000022,run_first_workflow,True,2023-12-27 00:00:00
acc_000023,create_first_workflow,True,2024-02-11 00:00:00
acc_000023,connect_first_integration,True,2024-02-05 00:00:00
acc_000023,connect_second_integration,False,
acc_000023,invite_team_member,False,
acc_000023,run_first_workflow,True,2024-02-04 00:00:00
acc_000024,create_first_workflow,False,
acc_000024,connect_first_integration,True,2024-05-01 00:00:00
acc_000024,connect_second_integration,False,
acc_000024,invite_team_member,True,2024-05-01 00:00:00
acc_000024,run_first_workflow,True,2024-05-05 00:00:00
acc_000025,create_first_workflow,True,2024-03-09 00:00:00
acc_000025,connect_first_integration,True,2024-03-15 00:00:00
acc_000025,connect_second_integration,False,
acc_000025,invite_team_member,True,2024-03-13 00:00:00
acc_000025,run_first_workflow,True,2024-03-11 00:00:00
acc_000026,create_first_workflow,True,2023-06-02 00:00:00
acc_000026,connect_first_integration,True,2023-06-05 00:00:00
acc_000026,connect_second_integration,False,
acc_000026,invite_team_member,True,2023-06-05 00:00:00
acc_000026,run_first_workflow,False,
acc_000027,create_first_workflow,True,2023-03-02 00:00:00
acc_000027,connect_first_integration,True,2023-03-09 00:00:00
acc_000027,connect_second_integration,False,
acc_000027,invite_team_member,False,
acc_000027,run_first_workflow,True,2023-03-12 00:00:00
acc_000028,create_first_workflow,True,2024-02-09 00:00:00
acc_000028,connect_first_integration,True,2024-02-09 00:00:00
acc_000028,connect_second_integration,False,
acc_000028,invite_team_member,True,2024-02-09 00:00:00
acc_000028,run_first_workflow,False,
acc_000029,create_first_workflow,True,2024-05-16 00:00:00
acc_000029,connect_first_integration,False,
acc_000029,connect_second_integration,True,2024-05-16 00:00:00
acc_000029,invite_team_member,True,2024-05-22 00:00:00
acc_000029,run_first_workflow,True,2024-05-22 00:00:00
acc_000030,create_first_workflow,True,2024-04-05 00:00:00
acc_000030,connect_first_integration,True,2024-04-03 00:00:00
acc_000030,connect_second_integration,False,
acc_000030,invite_team_member,False,
acc_000030,run_first_workflow,False,
acc_000031,create_first_workflow,True,2023-11-11 00:00:00
acc_000031,connect_first_integration,True,2023-11-10 00:00:00
acc_000031,connect_second_integration,False,
acc_000031,invite_team_member,True,2023-11-18 00:00:00
acc_000031,run_first_workflow,True,2023-11-17 00:00:00
acc_000032,create_first_workflow,True,2023-05-31 00:00:00
acc_000032,connect_first_integration,False,
acc_000032,connect_second_integration,False,
acc_000032,invite_team_member,False,
acc_000032,run_first_workflow,True,2023-06-06 00:00:00
acc_000033,create_first_workflow,True,2023-04-25 00:00:00
acc_000033,connect_first_integration,False,
acc_000033,connect_second_integration,False,
acc_000033,invite_team_member,True,2023-04-27 00:00:00
acc_000033,run_first_workflow,True,2023-04-28 00:00:00
acc_000034,create_first_workflow,True,2024-01-23 00:00:00
acc_000034,connect_first_integration,True,2024-01-13 00:00:00
acc_000034,connect_second_integration,False,
acc_000034,invite_team_member,True,2024-01-14 00:00:00
acc_000034,run_first_workflow,True,2024-01-11 00:00:00
acc_000035,create_first_workflow,True,2024-04-22 00:00:00
acc_000035,connect_first_integration,False,
acc_000035,connect_second_integration,True,2024-04-15 00:00:00
acc_000035,invite_team_member,False,
acc_000035,run_first_workflow,True,2024-04-21 00:00:00
acc_000036,create_first_workflow,True,2023-04-03 00:00:00
acc_000036,connect_first_integration,True,2023-03-29 00:00:00
acc_000036,connect_second_integration,False,
acc_000036,invite_team_member,False,
acc_000036,run_first_workflow,True,2023-04-03 00:00:00
acc_000037,create_first_workflow,True,2024-03-13 00:00:00
acc_000037,connect_first_integration,True,2024-03-14 00:00:00
acc_000037,connect_second_integration,False,
acc_000037,invite_team_member,False,
acc_000037,run_first_workflow,True,2024-03-09 00:00:00
