user_id,account_id,role,country,days_since_last_active
usr_0000000,acc_000000,admin,AU,1
usr_0000001,acc_000000,viewer,AU,12
usr_0000002,acc_000000,member,SG,14
usr_0000003,acc_000000,member,GB,52
usr_0000004,acc_000000,member,AU,1
usr_0000005,acc_000001,admin,NZ,0
usr_0000006,acc_000001,member,NZ,10
usr_0000007,acc_000001,member,GB,5
usr_0000008,acc_000001,member,AU,6
usr_0000009,acc_000001,member,AU,17
usr_0000010,acc_000001,member,AU,3
usr_0000011,acc_000001,member,AU,1
usr_0000012,acc_000001,member,NZ,12
usr_0000013,acc_000002,admin,AU,1
usr_0000014,acc_000002,member,GB,10
usr_0000015,acc_000002,member,AU,3
usr_0000016,acc_000002,member,AU,9
usr_0000017,acc_000002,member,NZ,20
usr_0000018,acc_000002,member,AU,3
usr_0000019,acc_000002,viewer,NZ,2
usr_0000020,acc_000002,member,AU,13
usr_0000021,acc_000002,member,AU,7
usr_0000022,acc_000002,member,AU,9
usr_0000023,acc_000003,admin,AU,15
usr_0000024,acc_000003,member,AU,2
usr_0000025,acc_000004,admin,AU,14
usr_0000026,acc_000004,member,AU,1
usr_0000027,acc_000005,admin,NZ,22
usr_0000028,acc_000006,admin,AU,3
usr_0000029,acc_000006,member,AU,2
usr_0000030,acc_000006,viewer,AU,1
usr_0000031,acc_000006,member,AU,10
usr_0000032,acc_000006,viewer,AU,1
usr_0000033,acc_000006,member,US,6
usr_0000034,acc_000006,member,AU,3
usr_0000035,acc_000006,member,NZ,12
usr_0000036,acc_000006,member,SG,17
usr_0000037,acc_000006,member,SG,3
usr_0000038,acc_000006,member,US,73
usr_0000039,acc_000006,member,AU,14
usr_0000040,acc_000006,member,SG,5
usr_0000041,acc_000006,member,GB,5
usr_0000042,acc_000006,member,AU,28
usr_0000043,acc_000006,viewer,GB,25
usr_0000044,acc_000006,viewer,AU,77
usr_0000045,acc_000007,admin,US,8
usr_0000046,acc_000007,viewer,AU,8
usr_0000047,acc_000008,admin,NZ,17
usr_0000048,acc_000008,member,NZ,11
usr_0000049,acc_000009,admin,AU,2
usr_0000050,acc_000009,member,AU,40
usr_0000051,acc_000010,admin,SG,7
usr_0000052,acc_000011,admin,AU,6
usr_0000053,acc_000011,member,GB,15
usr_0000054,acc_000011,member,AU,39
usr_0000055,acc_000011,member,US,11
usr_0000056,acc_000011,viewer,AU,37
usr_0000057,acc_000011,member,SG,5
usr_0000058,acc_000011,member,AU,18
usr_0000059,acc_000011,member,AU,1
usr_0000060,acc_000011,member,SG,16
usr_0000061,acc_000011,member,US,36
usr_0000062,acc_000011,member,AU,0
usr_0000063,acc_000011,viewer,SG,16
usr_0000064,acc_000011,member,AU,32
usr_0000065,acc_000011,viewer,AU,10
usr_0000066,acc_000011,member,SG,39
usr_0000067,acc_000011,member,NZ,26
usr_0000068,acc_000012,admin,AU,2
usr_0000069,acc_000013,admin,AU,26
usr_0000070,acc_000013,member,NZ,36
usr_0000071,acc_000013,viewer,AU,12
usr_0000072,acc_000013,member,AU,13
usr_0000073,acc_000013,member,AU,1
usr_0000074,acc_000013,member,NZ,13
usr_0000075,acc_000013,viewer,AU,45
usr_0000076,acc_000013,viewer,AU,43
usr_0000077,acc_000014,admin,AU,17
usr_0000078,acc_000014,viewer,GB,13
usr_0000079,acc_000014,member,AU,0
usr_0000080,acc_000015,admin,GB,28
usr_0000081,acc_000015,member,AU,0
usr_0000082,acc_000016,admin,AU,2
usr_0000083,acc_000016,member,AU,6
usr_0000084,acc_000017,admin,AU,0
usr_0000085,acc_000018,admin,NZ,11
usr_0000086,acc_000018,member,AU,9
usr_0000087,acc_000018,member,AU,24
usr_0000088,acc_000018,member,US,43
usr_0000089,acc_000018,viewer,AU,10
usr_0000090,acc_000018,member,AU,9
usr_0000091,acc_000018,member,GB,49
usr_0000092,acc_000019,admin,GB,11
usr_0000093,acc_000019,member,NZ,6
usr_0000094,acc_000019,viewer,AU,67
usr_0000095,acc_000019,member,AU,2
usr_0000096,acc_000019,member,AU,24
usr_0000097,acc_000019,viewer,AU,20
usr_0000098,acc_000019,member,AU,3
usr_0000099,acc_000019,member,AU,15
usr_0000100,acc_000020,admin,NZ,38
usr_0000101,acc_000020,viewer,NZ,1
usr_0000102,acc_000020,member,AU,36
usr_0000103,acc_000020,member,AU,7
usr_0000104,acc_000020,member,AU,12
usr_0000105,acc_000020,viewer,AU,14
usr_0000106,acc_000020,member,AU,17
usr_0000107,acc_000020,member,SG,53
usr_0000108,acc_000020,viewer,SG,18
usr_0000109,acc_000020,member,AU,17
usr_0000110,acc_000021,admin,AU,6
usr_0000111,acc_000021,member,AU,12
usr_0000112,acc_000021,viewer,AU,12
usr_0000113,acc_000021,member,SG,41
usr_0000114,acc_000021,member,GB,13
usr_0000115,acc_000021,member,AU,8
usr_0000116,acc_000021,viewer,NZ,54
usr_0000117,acc_000021,member,GB,9
usr_0000118,acc_000021,member,AU,8
usr_0000119,acc_000021,viewer,AU,2
usr_0000120,acc_000022,admin,NZ,0
usr_0000121,acc_000022,member,AU,2
usr_0000122,acc_000022,member,AU,11
usr_0000123,acc_000022,member,AU,8
usr_0000124,acc_000022,member,AU,5
usr_0000125,acc_000022,member,AU,6
usr_0000126,acc_000022,viewer,AU,3
usr_0000127,acc_000022,member,AU,25
usr_0000128,acc_000022,member,AU,2
usr_0000129,acc_000022,member,AU,11
usr_0000130,acc_000023,admin,AU,19
usr_0000131,acc_000024,admin,AU,16
usr_0000132,acc_000024,viewer,AU,13
usr_0000133,acc_000024,viewer,AU,9
usr_0000134,acc_000024,member,AU,4
usr_0000135,acc_000024,viewer,US,8
usr_0000136,acc_000024,member,AU,6
usr_0000137,acc_000024,member,US,1
usr_0000138,acc_000025,admin,AU,1
usr_0000139,acc_000025,member,AU,53
usr_0000140,acc_000025,viewer,SG,0
usr_0000141,acc_000025,viewer,GB,6
usr_0000142,acc_000026,admin,AU,24
usr_0000143,acc_000026,viewer,NZ,5
usr_0000144,acc_000026,member,AU,90
usr_0000145,acc_000026,viewer,AU,14
usr_0000146,acc_000026,member,SG,0
usr_0000147,acc_000026,member,AU,1
usr_0000148,acc_000026,member,NZ,4
usr_0000149,acc_000026,viewer,AU,12
usr_0000150,acc_000026,member,AU,40
usr_0000151,acc_000026,viewer,GB,26
usr_0000152,acc_000027,admin,SG,2
usr_0000153,acc_000028,admin,GB,4
usr_0000154,acc_000028,viewer,AU,47
usr_0000155,acc_000029,admin,AU,9
usr_0000156,acc_000029,viewer,AU,3
usr_0000157,acc_000030,admin,SG,10
usr_0000158,acc_000031,admin,AU,35
usr_0000159,acc_000031,member,SG,0
usr_0000160,acc_000031,member,AU,20
usr_0000161,acc_000031,member,GB,3
usr_0000162,acc_000031,member,SG,14
usr_0000163,acc_000031,member,SG,5
usr_0000164,acc_000031,viewer,NZ,39
usr_0000165,acc_000031,member,AU,13
usr_0000166,acc_000031,viewer,GB,0
usr_0000167,acc_000031,viewer,NZ,14
usr_0000168,acc_000031,member,SG,5
usr_0000169,acc_000031,member,AU,6
usr_0000170,acc_000031,member,NZ,43
usr_0000171,acc_000031,member,US,38
usr_0000172,acc_000031,viewer,AU,16
usr_0000173,acc_000031,member,AU,30
usr_0000174,acc_000031,viewer,AU,9
usr_0000175,acc_000031,viewer,GB,5
usr_0000176,acc_000031,viewer,NZ,13
usr_0000177,acc_000031,viewer,AU,3
usr_0000178,acc_000031,viewer,NZ,3
usr_0000179,acc_000032,admin,GB,20
usr_0000180,acc_000033,admin,NZ,8
usr_0000181,acc_000033,member,AU,10
usr_0000182,acc_000033,viewer,AU,43
usr_0000183,acc_000033,member,SG,10
usr_0000184,acc_000033,member,GB,14
usr_0000185,acc_000034,admin,AU,25
usr_0000186,acc_000034,viewer,NZ,0
usr_0000187,acc_000035,admin,NZ,0
usr_0000188,acc_000036,admin,GB,3
usr_0000189,acc_000037,admin,AU,4
usr_0000190,acc_000038,admin,AU,60
usr_0000191,acc_000038,member,GB,5
usr_0000192,acc_000038,viewer,AU,1
usr_0000193,acc_000038,viewer,AU,16
usr_0000194,acc_000038,member,US,18
usr_0000195,acc_000038,member,GB,22
usr_0000196,acc_000038,viewer,AU,15
usr_0000197,acc_000038,member,NZ,27
usr_0000198,acc_000038,member,SG,2
usr_0000199,acc_000038,member,AU,0
usr_0000200,acc_000038,member,AU,12
usr_0000201,acc_000038,member,AU,9
usr_0000202,acc_000038,member,NZ,2
usr_0000203,acc_000038,member,AU,10
usr_0000204,acc_000038,member,US,14
usr_0000205,acc_000038,member,NZ,11
usr_0000206,acc_000038,member,AU,0
usr_0000207,acc_000038,member,AU,1
usr_0000208,acc_000038,member,AU,2
usr_0000209,acc_000038,viewer,SG,5
usr_0000210,acc_000039,admin,AU,16
usr_0000211,acc_000040,admin,NZ,6
usr_0000212,acc_000040,member,NZ,2
usr_0000213,acc_000040,viewer,AU,7
usr_0000214,acc_000040,member,NZ,0
usr_0000215,acc_000040,viewer,AU,22
usr_0000216,acc_000040,viewer,AU,6
usr_0000217,acc_000040,member,NZ,0
usr_0000218,acc_000040,member,AU,0
usr_0000219,acc_000040,member,NZ,3
usr_0000220,acc_000040,member,AU,20
usr_0000221,acc_000040,member,AU,0
usr_0000222,acc_000040,member,US,47
usr_0000223,acc_000040,member,GB,3
usr_0000224,acc_000040,member,AU,4
usr_0000225,acc_000040,member,NZ,1
usr_0000226,acc_000040,member,US,3
usr_0000227,acc_000040,member,NZ,4
usr_0000228,acc_000040,member,AU,0
usr_0000229,acc_000040,viewer,NZ,8
