account_id,month,active_days,recipes_cooked,recipes_saved,missed_meal_plans,seats_used,support_tickets,support_ticket_category
acc_000000,2024-03-01,8,0,9,0,1,0,none
acc_000000,2024-04-01,5,0,0,0,1,0,none
acc_000000,2024-05-01,5,3,0,1,1,0,none
acc_000001,2024-01-01,22,22,12,1,1,0,none
acc_000001,2024-02-01,18,46,8,0,1,2,product
acc_000001,2024-03-01,17,21,25,1,1,0,none
acc_000001,2024-04-01,21,26,12,0,1,0,none
acc_000001,2024-05-01,25,25,13,1,1,0,none
acc_000002,2023-05-01,22,24,15,0,1,0,none
acc_000002,2023-06-01,19,20,21,1,1,0,none
acc_000002,2023-07-01,19,18,16,0,1,0,none
acc_000002,2023-08-01,16,20,9,1,1,0,none
acc_000002,2023-09-01,12,22,11,1,1,0,none
acc_000002,2023-10-01,15,26,7,0,1,0,none
acc_000002,2023-11-01,14,18,11,1,1,0,none
acc_000002,2023-12-01,16,22,18,2,1,0,none
acc_000002,2024-01-01,26,31,15,1,1,0,none
acc_000002,2024-02-01,18,31,2,0,1,1,product
acc_000002,2024-03-01,10,21,14,1,1,0,none
acc_000002,2024-04-01,17,24,21,0,1,0,none
acc_000002,2024-05-01,27,35,7,0,1,0,none
acc_000003,2023-03-01,9,2,8,1,2,3,account
acc_000003,2023-04-01,9,1,8,1,2,0,none
acc_000003,2023-05-01,11,1,10,0,2,0,none
acc_000003,2023-06-01,4,1,11,1,2,0,none
acc_000003,2023-07-01,7,0,12,0,2,0,none
acc_000003,2023-08-01,3,1,9,1,1,0,none
acc_000003,2023-09-01,7,0,7,0,2,0,none
acc_000003,2023-10-01,12,0,10,0,1,0,none
acc_000003,2023-11-01,8,1,10,0,1,0,none
acc_000003,2023-12-01,16,0,13,0,2,0,none
acc_000003,2024-01-01,5,0,8,0,1,0,none
acc_000003,2024-02-01,8,1,4,1,1,1,product
acc_000003,2024-03-01,6,1,10,1,2,0,none
acc_000003,2024-04-01,9,1,8,0,1,1,none
acc_000003,2024-05-01,7,1,2,1,2,0,none
acc_000004,2022-12-01,22,30,4,0,1,0,none
acc_000004,2023-01-01,25,30,10,0,1,0,none
acc_000004,2023-02-01,26,17,13,2,1,0,none
acc_000004,2023-03-01,15,22,12,0,1,1,product
acc_000004,2023-04-01,23,14,11,1,1,0,none
acc_000004,2023-05-01,22,35,11,0,1,0,none
acc_000004,2023-06-01,22,18,13,3,1,0,none
acc_000004,2023-07-01,7,20,9,1,1,0,none
acc_000004,2023-08-01,18,36,20,0,1,0,none
acc_000004,2023-09-01,24,23,26,0,1,2,billing
acc_000004,2023-10-01,12,29,7,1,1,0,none
acc_000004,2023-11-01,18,23,7,0,1,0,none
acc_000004,2023-12-01,20,11,22,1,1,0,none
acc_000004,2024-01-01,11,29,16,1,1,1,account
acc_000004,2024-02-01,19,37,11,0,1,0,none
acc_000004,2024-03-01,26,29,11,0,1,0,none
acc_000004,2024-04-01,6,1,4,1,1,0,none
acc_000004,2024-05-01,6,1,1,0,1,0,none
acc_000005,2023-01-01,10,0,17,0,2,0,none
acc_000005,2023-02-01,5,0,11,0,2,0,none
acc_000005,2023-03-01,11,2,14,0,3,0,none
acc_000005,2023-04-01,13,2,7,0,2,0,none
acc_000005,2023-05-01,13,1,15,1,3,0,none
acc_000005,2023-06-01,7,1,2,1,1,0,none
acc_000005,2023-07-01,2,2,12,0,2,1,product
acc_000005,2023-08-01,9,1,10,1,2,0,none
acc_000005,2023-09-01,9,2,15,1,2,0,none
acc_000005,2023-10-01,7,0,4,0,3,0,none
acc_000005,2023-11-01,18,0,1,0,2,0,none
acc_000005,2023-12-01,5,1,10,1,1,0,none
acc_000005,2024-01-01,6,2,1,0,2,0,none
acc_000005,2024-02-01,1,1,3,0,1,0,none
acc_000005,2024-03-01,8,1,10,0,2,0,none
acc_000005,2024-04-01,11,1,7,0,2,0,none
acc_000005,2024-05-01,8,0,6,0,3,0,none
acc_000006,2024-03-01,7,1,8,1,1,0,none
acc_000006,2024-04-01,6,1,10,0,1,2,product
acc_000006,2024-05-01,7,0,4,0,1,0,none
acc_000007,2022-12-01,6,1,10,1,2,0,none
acc_000007,2023-01-01,6,0,1,0,2,2,product
acc_000007,2023-02-01,6,3,14,1,2,0,none
acc_000007,2023-03-01,14,0,13,0,1,0,none
acc_000007,2023-04-01,3,1,11,1,2,0,none
acc_000007,2023-05-01,9,0,11,0,2,0,none
acc_000007,2023-06-01,8,1,5,1,2,0,none
acc_000007,2023-07-01,7,1,13,1,2,0,none
acc_000007,2023-08-01,10,1,3,0,1,0,none
acc_000007,2023-09-01,4,2,12,1,3,0,none
acc_000007,2023-10-01,9,1,11,1,1,0,none
acc_000007,2023-11-01,8,1,17,0,2,2,product
acc_000007,2023-12-01,10,0,8,0,1,0,none
acc_000007,2024-01-01,14,0,15,0,1,0,none
acc_000007,2024-02-01,8,1,5,1,2,0,none
acc_000007,2024-03-01,10,1,6,1,1,0,none
acc_000007,2024-04-01,7,3,1,1,1,0,none
acc_000007,2024-05-01,10,3,4,0,1,0,none
acc_000008,2022-12-01,26,18,6,1,1,0,none
acc_000008,2023-01-01,17,15,17,2,1,0,none
acc_000008,2023-02-01,16,18,11,0,1,0,none
acc_000008,2023-03-01,23,24,8,0,1,0,none
acc_000008,2023-04-01,20,18,6,0,1,0,none
acc_000008,2023-05-01,12,32,7,1,1,0,none
acc_000008,2023-06-01,14,23,14,1,1,0,none
acc_000008,2023-07-01,17,32,10,1,1,0,none
acc_000008,2023-08-01,23,12,12,0,1,0,none
acc_000008,2023-09-01,14,20,18,3,1,0,none
acc_000008,2023-10-01,23,27,22,0,1,0,none
acc_000008,2023-11-01,20,0,2,0,1,0,none
acc_000008,2023-12-01,18,30,18,0,1,0,none
acc_000008,2024-01-01,20,24,10,0,1,0,none
acc_000008,2024-02-01,22,9,6,2,1,0,none
acc_000008,2024-03-01,11,29,5,0,1,0,none
acc_000008,2024-04-01,20,5,15,3,1,0,none
acc_000008,2024-05-01,15,25,9,1,1,0,none
acc_000009,2023-10-01,14,29,13,1,1,0,none
acc_000009,2023-11-01,25,24,9,2,1,0,none
acc_000009,2023-12-01,15,32,11,1,1,0,none
acc_000009,2024-01-01,16,30,19,1,1,0,none
acc_000009,2024-02-01,25,11,10,2,1,0,none
acc_000009,2024-03-01,13,30,11,0,1,0,none
