user_id,account_id,role,country,days_since_last_active
usr_0000000,acc_000000,primary,GB,48
usr_0000001,acc_000000,viewer,NZ,92
usr_0000002,acc_000001,primary,AU,30
usr_0000003,acc_000001,family_member,AU,20
usr_0000004,acc_000002,primary,US,12
usr_0000005,acc_000003,primary,AU,16
usr_0000006,acc_000003,family_member,NZ,40
usr_0000007,acc_000003,family_member,AU,38
usr_0000008,acc_000004,primary,AU,59
usr_0000009,acc_000005,primary,AU,9
usr_0000010,acc_000005,family_member,AU,26
usr_0000011,acc_000006,primary,GB,28
usr_0000012,acc_000007,primary,AU,87
usr_0000013,acc_000007,viewer,NZ,89
usr_0000014,acc_000008,primary,US,11
usr_0000015,acc_000008,viewer,AU,24
usr_0000016,acc_000009,primary,AU,25
usr_0000017,acc_000010,primary,NZ,2
usr_0000018,acc_000010,viewer,GB,35
usr_0000019,acc_000010,family_member,AU,31
usr_0000020,acc_000010,family_member,US,23
usr_0000021,acc_000011,primary,US,18
usr_0000022,acc_000012,primary,GB,18
usr_0000023,acc_000013,primary,NZ,8
usr_0000024,acc_000013,viewer,US,28
usr_0000025,acc_000014,primary,GB,16
usr_0000026,acc_000015,primary,CA,1
usr_0000027,acc_000016,primary,AU,90
usr_0000028,acc_000017,primary,NZ,35
usr_0000029,acc_000017,family_member,AU,9
usr_0000030,acc_000018,primary,NZ,26
usr_0000031,acc_000018,family_member,AU,38
usr_0000032,acc_000019,primary,AU,19
usr_0000033,acc_000019,family_member,US,30
usr_0000034,acc_000019,family_member,AU,13
usr_0000035,acc_000020,primary,US,34
usr_0000036,acc_000021,primary,NZ,35
usr_0000037,acc_000022,primary,US,17
usr_0000038,acc_000023,primary,AU,23
usr_0000039,acc_000023,family_member,AU,9
usr_0000040,acc_000023,family_member,AU,16
usr_0000041,acc_000023,family_member,US,21
usr_0000042,acc_000023,family_member,AU,15
usr_0000043,acc_000024,primary,GB,12
usr_0000044,acc_000025,primary,CA,8
usr_0000045,acc_000026,primary,CA,85
usr_0000046,acc_000027,primary,US,110
usr_0000047,acc_000028,primary,AU,34
