event_id,user_id,account_id,feature_name,meal_category,event_type,timestamp
evt_00148052,usr_0002689,acc_001667,collection_create,,used,2024-02-03 14:28:55
evt_00026822,usr_0000486,acc_000312,nutritional_info,,used,2023-08-06 08:25:05
evt_00098475,usr_0001782,acc_001103,grocery_sync,,blocked,2023-03-19 20:26:45
evt_00115344,usr_0002103,acc_001297,recipe_browse,dinner,used,2023-10-28 07:58:55
evt_00108136,usr_0001951,acc_001209,meal_plan_builder,dinner,abandoned,2024-03-24 11:04:46
evt_00046498,usr_0000853,acc_000540,meal_plan_builder,dinner,used,2024-04-22 20:32:22
evt_00012855,usr_0000241,acc_000158,recipe_import,,blocked,2023-05-29 10:00:27
evt_00081439,usr_0001458,acc_000907,recipe_browse,breakfast,used,2023-01-17 07:11:15
evt_00051955,usr_0000968,acc_000603,grocery_sync,,used,2024-02-29 13:45:26
evt_00131479,usr_0002397,acc_001484,recipe_browse,snack,used,2024-04-23 15:30:32
evt_00146209,usr_0002660,acc_001649,grocery_sync,,used,2024-05-23 19:11:11
evt_00066406,usr_0001211,acc_000752,recipe_import,,used,2023-11-24 08:05:53
evt_00025657,usr_0000465,acc_000301,recipe_browse,dinner,used,2023-01-17 06:14:26
evt_00009850,usr_0000177,acc_000116,grocery_sync,,used,2023-05-07 17:30:41
evt_00001394,usr_0000028,acc_000017,recipe_browse,snack,used,2023-10-08 08:10:07
evt_00079744,usr_0001428,acc_000887,recipe_browse,breakfast,used,2024-04-22 06:36:48
evt_00078643,usr_0001408,acc_000875,meal_plan_builder,dinner,used,2023-05-15 06:53:09
evt_00028295,usr_0000516,acc_000331,meal_plan_builder,breakfast,used,2024-03-26 21:50:12
evt_00069005,usr_0001249,acc_000780,recipe_browse,lunch,used,2024-03-20 14:11:11
evt_00073906,usr_0001324,acc_000826,meal_plan_builder,dinner,used,2023-08-02 08:50:02
evt_00074434,usr_0001336,acc_000831,meal_plan_builder,dinner,used,2024-02-09 22:57:26
evt_00057165,usr_0001048,acc_000657,recipe_browse,dinner,used,2023-11-28 11:24:20
evt_00006682,usr_0000126,acc_000080,nutritional_info,,used,2024-05-28 18:24:18
evt_00090152,usr_0001618,acc_001002,meal_plan_builder,dessert,used,2022-11-17 18:25:22
evt_00012304,usr_0000230,acc_000149,recipe_browse,lunch,abandoned,2024-03-05 06:49:11
evt_00143526,usr_0002611,acc_001624,meal_plan_builder,dinner,used,2024-01-01 17:30:28
evt_00070237,usr_0001266,acc_000791,recipe_browse,lunch,used,2024-02-08 08:47:44
evt_00046020,usr_0000844,acc_000533,dietary_filter,,abandoned,2024-02-09 14:25:58
evt_00125430,usr_0002280,acc_001412,dietary_filter,,used,2023-12-17 11:56:28
evt_00143357,usr_0002607,acc_001621,meal_plan_builder,dinner,used,2023-07-12 06:01:40
evt_00110802,usr_0002017,acc_001247,recipe_import,,blocked,2023-03-19 07:53:27
evt_00021282,usr_0000389,acc_000250,collection_create,,abandoned,2023-03-27 15:46:49
evt_00082843,usr_0001493,acc_000921,meal_plan_builder,snack,used,2024-02-03 12:25:32
evt_00028243,usr_0000515,acc_000330,recipe_import,,used,2024-02-07 14:46:42
evt_00007989,usr_0000141,acc_000093,grocery_sync,,used,2023-01-19 17:43:43
evt_00106885,usr_0001925,acc_001191,meal_plan_builder,lunch,used,2023-10-24 07:33:47
evt_00115796,usr_0002107,acc_001301,recipe_import,,blocked,2024-05-14 19:07:16
evt_00036309,usr_0000660,acc_000414,recipe_browse,breakfast,abandoned,2024-02-26 20:22:39
evt_00158679,usr_0002885,acc_001785,meal_plan_builder,lunch,used,2023-10-12 19:42:07
evt_00027836,usr_0000510,acc_000326,meal_plan_builder,dinner,abandoned,2024-03-19 11:11:53
evt_00143701,usr_0002612,acc_001625,recipe_browse,dinner,used,2024-04-22 14:19:50
evt_00028588,usr_0000531,acc_000336,recipe_browse,dessert,used,2024-03-30 17:24:27
evt_00027023,usr_0000493,acc_000314,dietary_filter,,used,2024-01-05 15:30:32
